13:30:22   17.05.2016             Programme Climap                  MeteoSuisse
Heures en UTC 0040 (UTC)  =  01:40 heures Heure d'hiver  =  02:40 heures Heure d'été
Période: 01.01.2011 00:00  -  16.05.2016 00:00 UTC 32767 -> Valeur manquante
nombre de stations  2
     2	Bad Ragaz                496 m s.m.	756910/ 209351
    36	Vaduz                    457 m s.m.	757719/ 221697
nombre de paramètres  1
   211  température de l'air à 2 m du sol; moyenne journalière  [°C]

  STA JAHR MO TG HH MM   211
    2 2012  9 16  0  0  14.1 
    2 2012  9 17  0  0  15.9 
    2 2012  9 18  0  0  17.7 
    2 2012  9 19  0  0  11.6 
    2 2012  9 20  0  0  10.6 
    2 2012  9 21  0  0  14.2 
    2 2012  9 22  0  0  13.1 
    2 2012  9 23  0  0  18.6 
    2 2012  9 24  0  0  16.5 
    2 2012  9 25  0  0  16.2 
    2 2012  9 26  0  0  18.2 
    2 2012  9 27  0  0  11.9 
    2 2012  9 28  0  0  12.7 
    2 2012  9 29  0  0  12.4 
    2 2012  9 30  0  0  12.8 
    2 2012 10  1  0  0  13.1 
    2 2012 10  2  0  0  13.3 
    2 2012 10  3  0  0  13.7 
    2 2012 10  4  0  0  13.4 
    2 2012 10  5  0  0  14.2 
    2 2012 10  6  0  0  15.8 
    2 2012 10  7  0  0  12.9 
    2 2012 10  8  0  0  12.5 
    2 2012 10  9  0  0  13.3 
    2 2012 10 10  0  0  12.3 
    2 2012 10 11  0  0  13.8 
    2 2012 10 12  0  0  11.7 
    2 2012 10 13  0  0   9.9 
    2 2012 10 14  0  0  10.8 
    2 2012 10 15  0  0   6.1 
    2 2012 10 16  0  0   7.6 
    2 2012 10 17  0  0  13.5 
    2 2012 10 18  0  0  17.7 
    2 2012 10 19  0  0  17.6 
    2 2012 10 20  0  0  14.2 
    2 2012 10 21  0  0  14.7 
    2 2012 10 22  0  0  11.5 
    2 2012 10 23  0  0  10.0 
    2 2012 10 24  0  0   9.5 
    2 2012 10 25  0  0  10.0 
    2 2012 10 26  0  0   8.8 
    2 2012 10 27  0  0   4.9 
    2 2012 10 28  0  0  -0.1 
    2 2012 10 29  0  0   1.0 
    2 2012 10 30  0  0   2.3 
    2 2012 10 31  0  0   8.7 
